,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other,Total
Dec-2020,4720,1620,1100,220,680,300,40,140,0,8820
Jan-2021,2910,2040,1500,260,650,340,100,180,10,7990
Feb-2021,2790,920,1410,220,670,80,50,100,0,6260
Mar-2021,4130,1280,1370,210,780,120,360,80,0,8320
Apr-2021,10940,4030,5100,650,1360,220,130,170,0,22610
May-2021,16490,5850,9850,780,2300,360,240,320,10,36190
Jun-2021,16880,2490,13030,780,2410,400,330,440,10,36770
Jul-2021,6160,3280,5800,640,1950,360,340,200,0,18720
Aug-2021,1450,1390,1850,190,830,180,390,110,0,6390
Sep-2021,730,720,1270,230,560,130,700,90,0,4430
Oct-2021,980,610,1390,170,660,340,190,60,0,4410
Nov-2021,10210,6510,1320,500,1090,530,240,460,0,20860
Dec-2021,37150,26340,3340,1580,1810,1040,340,1680,10,73290
Jan-2022,26850,21740,5790,2640,1130,720,400,1480,10,60760
Feb-2022,34900,29440,14860,4300,2870,910,1000,2150,20,90460
Mar-2022,62610,47660,30990,6720,16810,1740,690,2990,40,170250
Apr-2022,82280,65620,44920,8470,27060,2330,1430,3340,20,235460
May-2022,81990,61660,47610,8330,24680,2050,2000,3140,30,231480
Jun-2022,91340,74060,63610,8850,29190,2800,1750,3690,20,275300
Jul-2022,107570,81840,81880,10840,32050,2660,3210,5600,20,325680
Aug-2022,120860,87330,82700,10390,34380,2730,5560,4460,30,348440
Sep-2022,128980,90290,86910,12020,41290,3030,3860,5430,30,371850
Oct-2022,150840,110020,96970,14680,44870,5220,2560,5300,30,430470
Nov-2022,181040,133520,99100,17140,57000,7510,2950,6910,70,505240
Dec-2022,242050,170840,120560,23110,70610,10150,2570,9080,0,648970
Jan-2023,159130,109950,73690,15650,40400,5920,2260,5400,10,412410
Feb-2023,247020,154570,100040,20920,57590,8180,2830,9480,90,600710
Mar-2023,234000,159250,111920,23070,65300,8260,4000,7440,100,613340
Apr-2023,200230,144420,105730,18180,59740,5150,3930,7480,60,544920
May-2023,189420,138830,104520,15840,49460,3740,3860,6620,40,512330
Jun-2023,203410,132140,123700,15700,50370,4770,4970,6980,40,542080
